Loyalty#,Behavioral_Cluster_Name
480934,"Stable average travelers
(Loyal)"
549612,"Formers Points accumulator
(2020)"
429460,"Lost custumers
(Traveled more before)"
608370,"Formers Points accumulator
(2020)"
530508,"Points accumulator currently
(2021)"
927943,"Stable average travelers
(Loyal)"
188893,"Formers Points accumulator
(2020)"
852392,"Consistent low travelers
(Use points)"
866307,"Consistent low travelers
(Use points)"
932823,"Stable average travelers
(Loyal)"
144514,"Consistent low travelers
(Use points)"
611765,"Gained customers
(Now traveling average)"
988178,"Stable average travelers
(Loyal)"
286114,"Consistent low travelers
(Use points)"
205785,"Formers Points accumulator
(2020)"
735304,"Points accumulator currently
(2021)"
438936,"Stable average travelers
(Loyal)"
243713,"Formers Points accumulator
(2020)"
354730,"Lost custumers
(Traveled more before)"
413741,"Consistent low travelers
(Use points)"
552965,Low-travel individuals
642313,"Consistent low travelers
(Use points)"
263080,"Consistent low travelers
(Use points)"
109767,"Formers Points accumulator
(2020)"
217754,"Formers Points accumulator
(2020)"
157005,"Formers Points accumulator
(2020)"
557752,"Growing travelers
(Now average)"
608758,"Points accumulator currently
(2021)"
599341,"Stable average travelers
(Loyal)"
333502,"Points accumulator currently
(2021)"
403361,"Gained customers
(Now traveling average)"
543918,"Formers Points accumulator
(2020)"
806030,"Gained customers
(Now traveling average)"
119200,"Growing travelers
(Now average)"
175967,"Consistent low travelers
(Use points)"
238119,"Formers Points accumulator
(2020)"
730388,"Stable average travelers
(Loyal)"
127400,"Points accumulator currently
(2021)"
324557,"Points accumulator currently
(2021)"
742002,"Points accumulator currently
(2021)"
536567,"Stable average travelers
(Loyal)"
704835,"Points accumulator currently
(2021)"
733338,"Lost custumers
(Traveled more before)"
758635,Low-travel individuals
823048,"Gained customers
(Now traveling average)"
612905,"Points accumulator currently
(2021)"
679908,"Formers Points accumulator
(2020)"
704150,"Consistent low travelers
(Use points)"
869743,"Lost custumers
(Traveled more before)"
596179,"Formers Points accumulator
(2020)"
370450,"Stable average travelers
(Loyal)"
501030,"Consistent low travelers
(Use points)"
878633,"Stable average travelers
(Loyal)"
285938,"Stable average travelers
(Loyal)"
588237,"Consistent low travelers
(Use points)"
645280,"Formers Points accumulator
(2020)"
864324,"Stable average travelers
(Loyal)"
124678,"Stable average travelers
(Loyal)"
186015,"Points accumulator currently
(2021)"
461108,Low-travel individuals
589580,"Stable average travelers
(Loyal)"
