Loyalty#,Demographic_Cluster_Name
480934,High-Income East
549612,Low-Income West
429460,Low-Income West
608370,Low-Income East
530508,High-Income East
927943,Low-Income East
188893,High-Income East
852392,High-Income East
866307,High-Income East
932823,High-Income West
144514,Low-Income West
611765,High-Income East
988178,Low-Income East
286114,Low-Income East
205785,Low-Income East
735304,Low-Income West
438936,High-Income East
243713,Low-Income East
354730,Low-Income East
413741,Low-Income East
552965,Low-Income East
642313,Low-Income West
263080,Low-Income West
109767,High-Income East
217754,High-Income East
157005,High-Income West
557752,High-Income East
608758,High-Income East
599341,Low-Income East
333502,Low-Income West
201574,Low-Income East
403361,High-Income West
543918,Low-Income East
806030,High-Income West
119200,High-Income West
175967,High-Income West
238119,High-Income East
730388,Low-Income East
834891,Low-Income West
127400,Low-Income West
324557,Low-Income East
742002,Low-Income East
536567,High-Income West
704835,High-Income West
733338,High-Income East
758635,High-Income East
823048,High-Income West
612905,Low-Income East
679908,High-Income East
704150,High-Income West
869743,High-Income East
596179,Low-Income East
370450,Low-Income East
501030,High-Income West
878633,Low-Income East
285938,High-Income East
588237,High-Income East
645280,High-Income West
864324,High-Income East
124678,Low-Income East
186015,Low-Income West
461108,Low-Income East
589580,Low-Income West
623688,Low-Income East
751616,Low-Income East
256147,Low-Income East
329382,Low-Income East
140392,High-Income West
541008,Low-Income East
230908,Low-Income West
972581,Low-Income West
357549,High-Income West
157729,High-Income West
910875,High-Income East
501704,Low-Income East
529098,Low-Income West
265297,Low-Income West
567875,High-Income East
688524,High-Income West
269070,Low-Income West
387705,Low-Income East
923293,High-Income West
283314,High-Income East
322102,Low-Income West
789157,Low-Income West
654748,High-Income East
984713,Low-Income East
114835,Low-Income East
328936,Low-Income East
845864,Low-Income West
645265,High-Income East
223587,High-Income West
158560,Low-Income West
417584,Low-Income West
566033,Low-Income East
957912,High-Income East
425854,Low-Income East
174896,Low-Income West
695855,Low-Income East
699511,Low-Income West
377322,High-Income West
511053,High-Income East
890753,Low-Income East
796670,Low-Income West
556136,Low-Income East
513081,High-Income West
930718,Low-Income East
235872,Low-Income East
881142,Low-Income West
295147,High-Income West
306110,High-Income East
295217,Low-Income East
711363,Low-Income East
591731,Low-Income East
326905,Low-Income West
375511,Low-Income East
485283,High-Income East
760158,Low-Income East
797685,Low-Income West
216467,Low-Income East
958839,Low-Income East
539673,Low-Income East
484718,High-Income West
528492,Low-Income East
995091,Low-Income West
632793,Low-Income East
912220,Low-Income West
382197,High-Income West
705196,Low-Income West
123094,High-Income West
821515,Low-Income West
119488,Low-Income East
287750,Low-Income East
735846,High-Income East
606026,Low-Income West
460291,Low-Income West
743001,High-Income West
869799,High-Income East
520321,Low-Income East
170585,High-Income East
188340,High-Income East
670817,High-Income East
509513,Low-Income West
779247,High-Income West
111255,Low-Income East
763061,Low-Income East
509108,Low-Income West
428919,Low-Income East
139863,High-Income East
695755,High-Income West
355331,Low-Income East
578837,Low-Income East
603248,Low-Income West
467182,High-Income West
601407,High-Income East
700871,High-Income East
203809,Low-Income West
705589,Low-Income East
746060,Low-Income West
