Loyalty#,merged_labels
480934,The March Loyals
549612,The September Loyals
429460,The Lost Holiday Drifters
608370,The January Average
530508,The March Loyals
927943,The December Loyals
188893,The September Loyals
852392,The December Loyals
866307,The January Average
932823,The September Loyals
144514,The March Loyals
611765,The Summer-Fall Hybrids
988178,The September Loyals
286114,The March Loyals
205785,The December Loyals
735304,The June Loyals
438936,The January Average
243713,The February Loyals
354730,The October Loyals
413741,The September Loyals
552965,New travelers
642313,The May Planners
263080,The September Loyals
109767,The June Loyals
217754,The September Loyals
157005,The September Loyals
557752,The May Planners
608758,The September Loyals
599341,The September Loyals
333502,The December Loyals
201574,New travelers
403361,The May Planners
543918,The December Loyals
806030,New travelers
119200,The Q4 Boomerang
175967,The October Loyals
238119,The January Average
730388,The September Loyals
834891,New travelers
127400,The September Loyals
324557,The Summer-Fall Hybrids
742002,The September Loyals
536567,The September Loyals
704835,The October Loyals
733338,The Lost Holiday Drifters
758635,New travelers
823048,New travelers
612905,The December Loyals
679908,The February Loyals
704150,The September Loyals
869743,The Lost Holiday Drifters
596179,The September Loyals
370450,The June Loyals
501030,The June Loyals
878633,The September Loyals
285938,The September Loyals
588237,The January Average
645280,The March Loyals
864324,The November Loyals
124678,The February Loyals
186015,The Summer-Fall Hybrids
461108,New travelers
589580,The October Loyals
623688,The October Loyals
751616,The Pandemic Drop-offs
256147,The December Loyals
329382,New travelers
140392,The December Loyals
541008,The Q4 Boomerang
230908,The March Loyals
972581,The November Loyals
357549,New travelers
157729,New travelers
910875,The September Loyals
501704,The December Loyals
529098,The Q4 Boomerang
265297,New travelers
567875,The Dormant Browsers
688524,The March Loyals
269070,The January Average
387705,The January Average
923293,The December Loyals
283314,New travelers
322102,New travelers
789157,New travelers
654748,The Pandemic Drop-offs
984713,New travelers
114835,The June Loyals
328936,The November Loyals
845864,The December Loyals
645265,The March Loyals
223587,The November Loyals
158560,The February Loyals
417584,The May Planners
566033,New travelers
957912,The June Loyals
425854,The September Loyals
174896,New travelers
695855,The January Average
699511,The Dormant Browsers
377322,The March Loyals
511053,The May Planners
890753,New travelers
796670,The January Average
