Loyalty#,Value_Based_Cluster_Name
100018,Fly fanatics
100102,Long-tenure
100140,Fly fanatics
100214,New engaged
100272,Long-tenure
100301,High-Value Frequent Flyers
100364,Fly fanatics
100380,Long-tenure
100428,Long-tenure
100504,Lost Occasional Travelers
100550,Long-tenure
100585,Long-tenure
100590,High-Value Low transactions
100642,Long-tenure
100644,New engaged
100646,New engaged
100727,Long-tenure
100737,New engaged
100753,Fly fanatics
100816,Long-tenure
100853,New engaged
100883,Long-tenure
100890,Long-tenure
101018,Long-tenure
101148,Long-tenure
101363,New engaged
101487,Long-tenure
101515,Long-tenure
101540,New engaged
101544,High-Value Frequent Flyers
101547,New Low-Value Customers
101581,Long-tenure
101594,Fly fanatics
101644,New Low-Value Customers
101663,Fly fanatics
101664,Long-tenure
101709,Fly fanatics
101768,High-Value Low transactions
101876,Lost Occasional Travelers
101895,High-Value Frequent Flyers
101945,Long-tenure
102168,New Low-Value Customers
102184,Fly fanatics
102207,Long-tenure
102299,Fly fanatics
102311,Fly fanatics
102376,High-Value Low transactions
102464,New engaged
102615,Reengaged Customers
102726,New engaged
102730,New Low-Value Customers
102740,High-Value Low transactions
102788,New engaged
102851,High-Value Frequent Flyers
102877,Fly fanatics
102982,New engaged
103043,Fly fanatics
103151,High-Value Frequent Flyers
103217,Long-tenure
103304,Long-tenure
103340,Fly fanatics
103359,Fly fanatics
103362,Reengaged Customers
103436,Long-tenure
103490,High-Value Frequent Flyers
103502,New engaged
103536,Long-tenure
103699,New Low-Value Customers
103731,New engaged
103758,High-Value Low transactions
103823,Long-tenure
103860,Long-tenure
103862,Long-tenure
103916,Long-tenure
103969,High-Value Frequent Flyers
103970,Fly fanatics
103975,New Low-Value Customers
103985,Reengaged Customers
104103,Fly fanatics
104267,New Low-Value Customers
104353,High-Value Frequent Flyers
104431,Long-tenure
104541,Long-tenure
104586,Fly fanatics
104673,High-Value Frequent Flyers
104732,New engaged
104849,Fly fanatics
104960,Long-tenure
105063,New Low-Value Customers
105073,New Low-Value Customers
105074,Fly fanatics
105193,New Low-Value Customers
105214,Long-tenure
105251,Lost Occasional Travelers
105335,Long-tenure
105552,Fly fanatics
105688,Long-tenure
105712,New engaged
105789,Long-tenure
105835,New Low-Value Customers
105841,High-Value Frequent Flyers
105921,Long-tenure
105932,New engaged
105992,Fly fanatics
106037,Fly fanatics
106038,New engaged
106046,Fly fanatics
106048,New Low-Value Customers
106218,High-Value Frequent Flyers
106397,Long-tenure
106444,New Low-Value Customers
106477,Long-tenure
106592,Fly fanatics
106616,New Low-Value Customers
106623,New Low-Value Customers
106637,Long-tenure
106689,New engaged
106754,High-Value Frequent Flyers
106757,High-Value Frequent Flyers
106776,High-Value Frequent Flyers
106838,New engaged
106839,Fly fanatics
106936,High-Value Frequent Flyers
106946,Fly fanatics
106964,New Low-Value Customers
106978,Long-tenure
106979,Long-tenure
107037,High-Value Low transactions
107067,Fly fanatics
107119,High-Value Frequent Flyers
107141,Long-tenure
107203,Fly fanatics
107212,Long-tenure
107296,High-Value Low transactions
107385,New Low-Value Customers
107420,High-Value Low transactions
107461,Fly fanatics
107466,Fly fanatics
107487,New Low-Value Customers
107519,New Low-Value Customers
107571,New engaged
107649,Long-tenure
107719,Long-tenure
107730,High-Value Low transactions
107835,New Low-Value Customers
107902,New engaged
107993,High-Value Frequent Flyers
108264,Long-tenure
108346,New Low-Value Customers
108367,Lost Occasional Travelers
108381,Fly fanatics
108430,High-Value Frequent Flyers
108440,Long-tenure
108462,New engaged
108528,Fly fanatics
108625,High-Value Frequent Flyers
108666,New engaged
108857,Lost Occasional Travelers
108896,Lost Occasional Travelers
108907,Fly fanatics
109022,Long-tenure
109023,New engaged
109029,New Low-Value Customers
109203,Long-tenure
109399,New engaged
109478,High-Value Frequent Flyers
109495,Long-tenure
109517,High-Value Frequent Flyers
109552,High-Value Frequent Flyers
109612,New Low-Value Customers
109660,Fly fanatics
109767,Fly fanatics
109840,New engaged
109896,Long-tenure
109903,Long-tenure
109956,Lost Occasional Travelers
110001,New engaged
110030,Lost Occasional Travelers
110065,High-Value Low transactions
110099,Long-tenure
110142,New Low-Value Customers
110170,New Low-Value Customers
110211,Lost Occasional Travelers
110262,New engaged
110296,Long-tenure
110394,Long-tenure
110422,New Low-Value Customers
110476,Long-tenure
110678,Fly fanatics
110691,New engaged
110752,Long-tenure
111022,High-Value Frequent Flyers
111034,Long-tenure
111171,Long-tenure
111176,Long-tenure
111255,Long-tenure
111286,Long-tenure
111329,New engaged
111485,Fly fanatics
111507,High-Value Frequent Flyers
111573,High-Value Frequent Flyers
111584,New engaged
111646,Lost Occasional Travelers
111788,Fly fanatics
111899,Lost Occasional Travelers
111912,Fly fanatics
112026,Long-tenure
112226,Long-tenure
112393,Long-tenure
112522,New engaged
112632,New engaged
112661,Lost Occasional Travelers
112678,High-Value Frequent Flyers
112709,Fly fanatics
112732,Fly fanatics
112733,Long-tenure
112842,New engaged
112856,High-Value Frequent Flyers
112863,High-Value Frequent Flyers
113040,Long-tenure
113184,New Low-Value Customers
113220,Long-tenure
113293,High-Value Low transactions
113316,New Low-Value Customers
113363,New Low-Value Customers
113442,New Low-Value Customers
113476,Long-tenure
113529,New Low-Value Customers
113558,Fly fanatics
113578,Lost Occasional Travelers
113679,Fly fanatics
113694,Long-tenure
113755,Long-tenure
113779,High-Value Frequent Flyers
113804,New engaged
113831,Fly fanatics
113839,New engaged
113861,New engaged
113864,New Low-Value Customers
113874,New Low-Value Customers
113877,Fly fanatics
113904,High-Value Frequent Flyers
113919,New engaged
114018,Long-tenure
114021,Fly fanatics
114131,New Low-Value Customers
114214,Lost Occasional Travelers
114219,Long-tenure
114242,New engaged
114307,Long-tenure
114399,High-Value Low transactions
114493,New engaged
114553,Long-tenure
114638,Long-tenure
114700,New Low-Value Customers
114743,New Low-Value Customers
114835,New engaged
114857,Fly fanatics
114903,Long-tenure
114924,Lost Occasional Travelers
114927,New engaged
114983,Long-tenure
115322,Long-tenure
115354,Long-tenure
115405,New engaged
115427,Fly fanatics
115505,New Low-Value Customers
115529,Fly fanatics
115633,Long-tenure
115705,High-Value Frequent Flyers
115749,New Low-Value Customers
115805,Long-tenure
115852,High-Value Frequent Flyers
116016,Long-tenure
116045,Fly fanatics
116164,New Low-Value Customers
116207,Lost Occasional Travelers
116238,High-Value Low transactions
116288,New engaged
116332,Long-tenure
116372,Fly fanatics
116562,Reengaged Customers
116703,Long-tenure
116732,High-Value Low transactions
116735,High-Value Frequent Flyers
116895,High-Value Low transactions
116897,New Low-Value Customers
116932,New engaged
116948,New Low-Value Customers
116999,High-Value Frequent Flyers
117033,Long-tenure
117053,High-Value Frequent Flyers
117169,Long-tenure
117219,Fly fanatics
117240,New Low-Value Customers
117333,High-Value Frequent Flyers
117342,New engaged
117358,New Low-Value Customers
117408,Fly fanatics
117456,Fly fanatics
117460,New engaged
117482,Fly fanatics
117618,Long-tenure
117782,High-Value Frequent Flyers
117910,Fly fanatics
117915,New Low-Value Customers
117932,New engaged
117939,Lost Occasional Travelers
117975,Lost Occasional Travelers
118076,Fly fanatics
118320,Long-tenure
118332,Fly fanatics
118355,New engaged
118365,Long-tenure
118376,High-Value Low transactions
118379,Fly fanatics
118418,Fly fanatics
118511,Lost Occasional Travelers
118514,New Low-Value Customers
118612,New engaged
118628,New engaged
118632,Fly fanatics
118675,Fly fanatics
118729,Lost Occasional Travelers
118864,High-Value Frequent Flyers
119009,Long-tenure
119015,New Low-Value Customers
119135,Long-tenure
119198,Fly fanatics
119200,New engaged
119408,New Low-Value Customers
119460,Fly fanatics
119488,New engaged
119519,Long-tenure
119633,Long-tenure
119634,Fly fanatics
119638,New Low-Value Customers
119690,New Low-Value Customers
119731,Long-tenure
119837,Long-tenure
119845,Long-tenure
119997,Fly fanatics
120046,New engaged
120126,New engaged
120140,Fly fanatics
120164,High-Value Frequent Flyers
120192,Long-tenure
120393,New engaged
120434,New engaged
120554,Long-tenure
120583,Long-tenure
120594,Fly fanatics
120613,New engaged
120799,New Low-Value Customers
120868,New engaged
121068,New engaged
121095,Fly fanatics
121139,New engaged
121183,Fly fanatics
121236,Lost Occasional Travelers
121351,High-Value Low transactions
121410,Long-tenure
121605,Long-tenure
121710,Long-tenure
121737,New Low-Value Customers
121751,New Low-Value Customers
121856,High-Value Low transactions
121919,New Low-Value Customers
121930,New Low-Value Customers
121935,New engaged
122009,Long-tenure
122020,New engaged
122049,Long-tenure
122094,Long-tenure
122166,New engaged
122283,New engaged
122357,High-Value Frequent Flyers
122456,New engaged
122517,Lost Occasional Travelers
122519,High-Value Frequent Flyers
122545,New engaged
122561,New Low-Value Customers
122577,New engaged
122685,Fly fanatics
122797,New Low-Value Customers
122858,Reengaged Customers
122890,Fly fanatics
122946,New engaged
122958,Fly fanatics
123060,Fly fanatics
123083,Fly fanatics
123094,New Low-Value Customers
123115,Long-tenure
123164,New engaged
123344,New engaged
123393,Long-tenure
123420,Fly fanatics
123525,High-Value Frequent Flyers
123586,New engaged
123667,Long-tenure
123668,Fly fanatics
123697,Long-tenure
123702,Long-tenure
123727,High-Value Low transactions
123773,Long-tenure
123830,Lost Occasional Travelers
123908,Long-tenure
123944,New Low-Value Customers
124038,Fly fanatics
124056,New engaged
124085,New engaged
124088,New engaged
124119,Long-tenure
124195,New Low-Value Customers
124207,New Low-Value Customers
124351,Lost Occasional Travelers
124355,Long-tenure
124377,New Low-Value Customers
124678,Long-tenure
124761,Fly fanatics
125059,New Low-Value Customers
125068,New Low-Value Customers
125300,Fly fanatics
125393,High-Value Frequent Flyers
125493,High-Value Low transactions
125606,New Low-Value Customers
125919,New engaged
125969,Fly fanatics
125996,Long-tenure
126097,Fly fanatics
126216,Long-tenure
126219,Long-tenure
126239,Long-tenure
126262,Fly fanatics
126424,High-Value Frequent Flyers
126466,Long-tenure
126581,Fly fanatics
126665,New engaged
127039,Fly fanatics
127127,Fly fanatics
127128,New engaged
127137,Long-tenure
127185,Fly fanatics
127241,New Low-Value Customers
127279,Long-tenure
127289,Long-tenure
127311,Long-tenure
127350,Fly fanatics
127400,Long-tenure
127410,Fly fanatics
127496,New Low-Value Customers
127590,New engaged
127645,Fly fanatics
127663,Long-tenure
127725,New engaged
127785,Fly fanatics
127827,Long-tenure
127882,New engaged
127946,New engaged
127966,Fly fanatics
128007,New engaged
128032,New Low-Value Customers
128039,Fly fanatics
128041,New engaged
128156,High-Value Frequent Flyers
128210,Long-tenure
128245,Lost Occasional Travelers
128280,New engaged
128325,New engaged
128459,High-Value Frequent Flyers
128467,Long-tenure
128475,Long-tenure
128534,Long-tenure
128572,New Low-Value Customers
128587,High-Value Low transactions
128611,Long-tenure
128633,Long-tenure
128749,New Low-Value Customers
128754,Lost Occasional Travelers
128789,Long-tenure
128950,Long-tenure
128975,High-Value Frequent Flyers
129030,New engaged
129171,New Low-Value Customers
129343,Long-tenure
129372,New engaged
129409,New engaged
129429,New engaged
129434,Fly fanatics
129510,Long-tenure
129515,Long-tenure
129533,Lost Occasional Travelers
129555,Fly fanatics
129817,Long-tenure
129827,High-Value Frequent Flyers
129914,New engaged
129976,New engaged
130032,High-Value Frequent Flyers
130077,High-Value Frequent Flyers
130086,New engaged
130179,New Low-Value Customers
130208,Long-tenure
130217,Lost Occasional Travelers
130326,Long-tenure
130368,Fly fanatics
130419,Fly fanatics
130439,Lost Occasional Travelers
130446,New engaged
130497,New Low-Value Customers
130548,Long-tenure
130593,Long-tenure
130823,Long-tenure
130953,Fly fanatics
131001,Fly fanatics
131036,New engaged
131047,Fly fanatics
131098,High-Value Frequent Flyers
131228,New engaged
131253,High-Value Frequent Flyers
131257,Long-tenure
131321,New engaged
131342,Fly fanatics
131463,Long-tenure
131558,New engaged
131560,Long-tenure
131673,New engaged
131680,New engaged
131721,Fly fanatics
131761,Long-tenure
131772,High-Value Frequent Flyers
131815,Long-tenure
131893,Long-tenure
131956,Reengaged Customers
131990,High-Value Frequent Flyers
131997,Long-tenure
132045,New engaged
132209,Long-tenure
132296,Long-tenure
132319,Long-tenure
132320,New engaged
132337,Long-tenure
132552,New Low-Value Customers
132592,Fly fanatics
132705,Long-tenure
132756,New engaged
132774,Long-tenure
132884,Long-tenure
132914,Long-tenure
132928,Lost Occasional Travelers
132935,Long-tenure
133035,New engaged
133065,New engaged
133066,Fly fanatics
133128,New engaged
133324,New engaged
133429,High-Value Frequent Flyers
133518,Fly fanatics
133608,Long-tenure
133698,New engaged
133730,Long-tenure
133732,Long-tenure
133821,Fly fanatics
133859,Long-tenure
133956,New engaged
134000,Reengaged Customers
134012,Reengaged Customers
134085,High-Value Frequent Flyers
134148,High-Value Low transactions
134180,New engaged
134202,Long-tenure
134241,High-Value Frequent Flyers
134273,Long-tenure
134279,New Low-Value Customers
134397,New engaged
